fixture_id,date,league,season,home_team,away_team,goals_home,goals_away,status,total_goals,result
1048930,2023-09-30 13:30:00+00:00,Bundesliga,2023,1.FC Köln,VfB Stuttgart,0,2,FT,2,Away Win
1048985,2023-11-24 19:30:00+00:00,Bundesliga,2023,1.FC Köln,Bayern Munich,0,1,FT,1,Away Win
1049002,2023-12-10 16:30:00+00:00,Bundesliga,2023,1.FC Köln,FSV Mainz 05,0,0,FT,0,Draw
1049039,2024-01-20 14:30:00+00:00,Bundesliga,2023,1.FC Köln,Borussia Dortmund,0,4,FT,4,Away Win
1049074,2024-02-16 19:30:00+00:00,Bundesliga,2023,1.FC Köln,Werder Bremen,0,1,FT,1,Away Win
1049092,2024-03-03 14:30:00+00:00,Bundesliga,2023,1.FC Köln,Bayer Leverkusen,0,2,FT,2,Away Win
1049147,2024-04-20 13:30:00+00:00,Bundesliga,2023,1.FC Köln,SV Darmstadt 98,0,2,FT,2,Away Win
1049164,2024-05-04 16:30:00+00:00,Bundesliga,2023,1.FC Köln,SC Freiburg,0,0,FT,0,Draw
1049075,2024-02-17 14:30:00+00:00,Bundesliga,2023,1899 Hoffenheim,Union Berlin,0,1,FT,1,Away Win
1049112,2024-03-16 17:30:00+00:00,Bundesliga,2023,1899 Hoffenheim,VfB Stuttgart,0,3,FT,3,Away Win
1049045,2024-01-27 17:30:00+00:00,Bundesliga,2023,Bayer Leverkusen,Borussia Monchengladbach,0,0,FT,0,Draw
1049034,2024-01-21 14:30:00+00:00,Bundesliga,2023,Bayern Munich,Werder Bremen,0,1,FT,1,Away Win
1049115,2024-03-30 17:30:00+00:00,Bundesliga,2023,Bayern Munich,Borussia Dortmund,0,2,FT,2,Away Win
1048962,2023-11-04 17:30:00+00:00,Bundesliga,2023,Borussia Dortmund,Bayern Munich,0,4,FT,4,Away Win
1049124,2024-04-06 16:30:00+00:00,Bundesliga,2023,Borussia Dortmund,VfB Stuttgart,0,1,FT,1,Away Win
1048894,2023-08-26 16:30:00+00:00,Bundesliga,2023,Borussia Monchengladbach,Bayer Leverkusen,0,3,FT,3,Away Win
1048922,2023-09-23 13:30:00+00:00,Bundesliga,2023,Borussia Monchengladbach,RB Leipzig,0,1,FT,1,Away Win
1049065,2024-02-10 14:30:00+00:00,Bundesliga,2023,Borussia Monchengladbach,SV Darmstadt 98,0,0,FT,0,Draw
1049119,2024-03-30 14:30:00+00:00,Bundesliga,2023,Borussia Monchengladbach,SC Freiburg,0,3,FT,3,Away Win
1049156,2024-04-28 13:30:00+00:00,Bundesliga,2023,Borussia Monchengladbach,Union Berlin,0,0,FT,0,Draw
1048921,2023-09-24 15:30:00+00:00,Bundesliga,2023,Eintracht Frankfurt,SC Freiburg,0,0,FT,0,Draw
1049118,2024-03-30 14:30:00+00:00,Bundesliga,2023,Eintracht Frankfurt,Union Berlin,0,0,FT,0,Draw
1049032,2024-01-13 14:30:00+00:00,Bundesliga,2023,FC Augsburg,Bayer Leverkusen,0,1,FT,1,Away Win
1049158,2024-04-27 13:30:00+00:00,Bundesliga,2023,FC Augsburg,Werder Bremen,0,3,FT,3,Away Win
1049176,2024-05-10 18:30:00+00:00,Bundesliga,2023,FC Augsburg,VfB Stuttgart,0,1,FT,1,Away Win
1048988,2023-11-26 14:30:00+00:00,Bundesliga,2023,FC Heidenheim,Vfl Bochum,0,0,FT,0,Draw
1049059,2024-02-02 19:30:00+00:00,Bundesliga,2023,FC Heidenheim,Borussia Dortmund,0,0,FT,0,Draw
1048929,2023-09-30 13:30:00+00:00,Bundesliga,2023,FSV Mainz 05,Bayer Leverkusen,0,3,FT,3,Away Win
1048992,2023-12-03 14:30:00+00:00,Bundesliga,2023,FSV Mainz 05,SC Freiburg,0,1,FT,1,Away Win
1049011,2023-12-16 14:30:00+00:00,Bundesliga,2023,FSV Mainz 05,FC Heidenheim,0,1,FT,1,Away Win
