fixture_id,date,league,season,home_team,away_team,goals_home,goals_away,status,total_goals,result
1035355,2023-12-28 20:15:00+00:00,Premier League,2023,Arsenal,West Ham,0,2,FT,2,Away Win
1035495,2024-04-14 15:30:00+00:00,Premier League,2023,Arsenal,Aston Villa,0,2,FT,2,Away Win
1035446,2024-03-10 13:00:00+00:00,Premier League,2023,Aston Villa,Tottenham,0,4,FT,4,Away Win
1035057,2023-08-26 11:30:00+00:00,Premier League,2023,Bournemouth,Tottenham,0,2,FT,2,Away Win
1035077,2023-09-17 13:00:00+00:00,Premier League,2023,Bournemouth,Chelsea,0,0,FT,0,Draw
1035097,2023-09-30 14:00:00+00:00,Premier League,2023,Bournemouth,Arsenal,0,4,FT,4,Away Win
1035374,2024-01-21 16:30:00+00:00,Premier League,2023,Bournemouth,Liverpool,0,4,FT,4,Away Win
1035424,2024-02-24 17:30:00+00:00,Premier League,2023,Bournemouth,Manchester City,0,1,FT,1,Away Win
1035294,2023-11-25 17:30:00+00:00,Premier League,2023,Brentford,Arsenal,0,1,FT,1,Away Win
1035476,2024-04-03 18:30:00+00:00,Premier League,2023,Brentford,Brighton,0,0,FT,0,Draw
1035525,2024-05-04 14:00:00+00:00,Premier League,2023,Brentford,Fulham,0,0,FT,0,Draw
1035377,2024-01-22 19:45:00+00:00,Premier League,2023,Brighton,Wolves,0,0,FT,0,Draw
1035485,2024-04-06 16:30:00+00:00,Premier League,2023,Brighton,Arsenal,0,3,FT,3,Away Win
1035455,2024-04-25 19:00:00+00:00,Premier League,2023,Brighton,Manchester City,0,4,FT,4,Away Win
1035546,2024-05-19 15:00:00+00:00,Premier League,2023,Brighton,Manchester United,0,2,FT,2,Away Win
1035037,2023-08-11 19:00:00+00:00,Premier League,2023,Burnley,Manchester City,0,3,FT,3,Away Win
1035090,2023-09-23 19:00:00+00:00,Premier League,2023,Burnley,Manchester United,0,1,FT,1,Away Win
1035138,2023-11-04 15:00:00+00:00,Premier League,2023,Burnley,Crystal Palace,0,2,FT,2,Away Win
1035337,2023-12-16 17:30:00+00:00,Premier League,2023,Burnley,Everton,0,2,FT,2,Away Win
1035358,2023-12-26 17:30:00+00:00,Premier League,2023,Burnley,Liverpool,0,2,FT,2,Away Win
1035415,2024-02-17 15:00:00+00:00,Premier League,2023,Burnley,Arsenal,0,5,FT,5,Away Win
1035435,2024-03-03 13:00:00+00:00,Premier League,2023,Burnley,Bournemouth,0,2,FT,2,Away Win
1035071,2023-09-02 14:00:00+00:00,Premier League,2023,Chelsea,Nottingham Forest,0,1,FT,1,Away Win
1035091,2023-09-24 13:00:00+00:00,Premier League,2023,Chelsea,Aston Villa,0,1,FT,1,Away Win
1035131,2023-10-28 11:30:00+00:00,Premier League,2023,Chelsea,Brentford,0,2,FT,2,Away Win
1035048,2023-08-21 19:00:00+00:00,Premier League,2023,Crystal Palace,Arsenal,0,1,FT,1,Away Win
1035092,2023-09-23 14:00:00+00:00,Premier League,2023,Crystal Palace,Fulham,0,0,FT,0,Draw
1035110,2023-10-07 16:30:00+00:00,Premier League,2023,Crystal Palace,Nottingham Forest,0,0,FT,0,Draw
1035322,2023-12-06 19:30:00+00:00,Premier League,2023,Crystal Palace,Bournemouth,0,2,FT,2,Away Win
1035041,2023-08-12 14:00:00+00:00,Premier League,2023,Everton,Fulham,0,1,FT,1,Away Win
1035063,2023-08-26 14:00:00+00:00,Premier League,2023,Everton,Wolves,0,1,FT,1,Away Win
1035079,2023-09-17 15:30:00+00:00,Premier League,2023,Everton,Arsenal,0,1,FT,1,Away Win
1035296,2023-11-26 16:30:00+00:00,Premier League,2023,Everton,Manchester United,0,3,FT,3,Away Win
1035380,2024-01-14 14:00:00+00:00,Premier League,2023,Everton,Aston Villa,0,0,FT,0,Draw
1035049,2023-08-19 14:00:00+00:00,Premier League,2023,Fulham,Brentford,0,3,FT,3,Away Win
1035100,2023-10-02 19:00:00+00:00,Premier League,2023,Fulham,Chelsea,0,2,FT,2,Away Win
1035140,2023-11-04 12:30:00+00:00,Premier League,2023,Fulham,Manchester United,0,1,FT,1,Away Win
1035346,2023-12-23 15:00:00+00:00,Premier League,2023,Fulham,Burnley,0,2,FT,2,Away Win
1035385,2024-01-30 19:45:00+00:00,Premier League,2023,Fulham,Everton,0,0,FT,0,Draw
1035488,2024-04-06 14:00:00+00:00,Premier League,2023,Fulham,Newcastle,0,1,FT,1,Away Win
1035537,2024-05-11 11:30:00+00:00,Premier League,2023,Fulham,Manchester City,0,4,FT,4,Away Win
1035339,2023-12-17 16:30:00+00:00,Premier League,2023,Liverpool,Manchester United,0,0,FT,0,Draw
1035499,2024-04-14 13:00:00+00:00,Premier League,2023,Liverpool,Crystal Palace,0,1,FT,1,Away Win
1035113,2023-10-07 11:30:00+00:00,Premier League,2023,Luton,Tottenham,0,1,FT,1,Away Win
1035469,2024-03-31 15:30:00+00:00,Premier League,2023,Manchester City,Arsenal,0,0,FT,0,Draw
1035101,2023-09-30 14:00:00+00:00,Premier League,2023,Manchester United,Crystal Palace,0,1,FT,1,Away Win
1035134,2023-10-29 15:30:00+00:00,Premier League,2023,Manchester United,Manchester City,0,3,FT,3,Away Win
1035330,2023-12-09 15:00:00+00:00,Premier League,2023,Manchester United,Bournemouth,0,3,FT,3,Away Win
1035538,2024-05-12 15:30:00+00:00,Premier League,2023,Manchester United,Arsenal,0,1,FT,1,Away Win
1035312,2023-12-02 17:30:00+00:00,Premier League,2023,Nottingham Forest,Everton,0,1,FT,1,Away Win
1035342,2023-12-15 20:00:00+00:00,Premier League,2023,Nottingham Forest,Tottenham,0,2,FT,2,Away Win
1035441,2024-03-02 15:00:00+00:00,Premier League,2023,Nottingham Forest,Liverpool,0,1,FT,1,Away Win
1035520,2024-04-28 15:30:00+00:00,Premier League,2023,Nottingham Forest,Manchester City,0,2,FT,2,Away Win
1035042,2023-08-12 14:00:00+00:00,Premier League,2023,Sheffield Utd,Crystal Palace,0,1,FT,1,Away Win
1035096,2023-09-24 15:30:00+00:00,Premier League,2023,Sheffield Utd,Newcastle,0,8,FT,8,Away Win
1035319,2023-12-06 19:30:00+00:00,Premier League,2023,Sheffield Utd,Liverpool,0,2,FT,2,Away Win
1035403,2024-02-03 17:30:00+00:00,Premier League,2023,Sheffield Utd,Aston Villa,0,5,FT,5,Away Win
1035422,2024-02-18 14:00:00+00:00,Premier League,2023,Sheffield Utd,Brighton,0,5,FT,5,Away Win
1035442,2024-03-04 20:00:00+00:00,Premier League,2023,Sheffield Utd,Arsenal,0,6,FT,6,Away Win
1035553,2024-05-19 15:00:00+00:00,Premier League,2023,Sheffield Utd,Tottenham,0,3,FT,3,Away Win
1035512,2024-05-14 19:00:00+00:00,Premier League,2023,Tottenham,Manchester City,0,2,FT,2,Away Win
1035135,2023-10-29 13:00:00+00:00,Premier League,2023,West Ham,Everton,0,1,FT,1,Away Win
1035372,2024-01-02 19:30:00+00:00,Premier League,2023,West Ham,Brighton,0,0,FT,0,Draw
1035412,2024-02-11 14:00:00+00:00,Premier League,2023,West Ham,Arsenal,0,6,FT,6,Away Win
1035503,2024-04-14 13:00:00+00:00,Premier League,2023,West Ham,Fulham,0,2,FT,2,Away Win
1035413,2024-02-10 15:00:00+00:00,Premier League,2023,Wolves,Brentford,0,2,FT,2,Away Win
1035513,2024-04-20 18:30:00+00:00,Premier League,2023,Wolves,Arsenal,0,2,FT,2,Away Win
1035463,2024-04-24 18:45:00+00:00,Premier League,2023,Wolves,Bournemouth,0,1,FT,1,Away Win
1035107,2023-10-08 15:30:00+00:00,Premier League,2023,Arsenal,Manchester City,1,0,FT,1,Home Win
1035314,2023-12-06 20:15:00+00:00,Premier League,2023,Aston Villa,Manchester City,1,0,FT,1,Home Win
1035324,2023-12-09 17:30:00+00:00,Premier League,2023,Aston Villa,Arsenal,1,0,FT,1,Home Win
1035344,2023-12-22 20:00:00+00:00,Premier League,2023,Aston Villa,Sheffield Utd,1,1,FT,2,Draw
1035384,2024-01-30 20:15:00+00:00,Premier League,2023,Aston Villa,Newcastle,1,3,FT,4,Away Win
1035404,2024-02-11 16:30:00+00:00,Premier League,2023,Aston Villa,Manchester United,1,2,FT,3,Away Win
1035039,2023-08-12 14:00:00+00:00,Premier League,2023,Bournemouth,West Ham,1,1,FT,2,Draw
1035117,2023-10-21 14:00:00+00:00,Premier League,2023,Bournemouth,Wolves,1,2,FT,3,Away Win
1035394,2024-02-04 14:00:00+00:00,Premier League,2023,Bournemouth,Nottingham Forest,1,1,FT,2,Draw
1035474,2024-04-02 18:45:00+00:00,Premier League,2023,Bournemouth,Crystal Palace,1,0,FT,1,Home Win
1035534,2024-05-11 14:00:00+00:00,Premier League,2023,Bournemouth,Brentford,1,2,FT,3,Away Win
1035059,2023-08-26 14:00:00+00:00,Premier League,2023,Brentford,Crystal Palace,1,1,FT,2,Draw
1035088,2023-09-23 16:30:00+00:00,Premier League,2023,Brentford,Everton,1,3,FT,4,Away Win
1035336,2023-12-17 14:00:00+00:00,Premier League,2023,Brentford,Aston Villa,1,2,FT,3,Away Win
1035356,2023-12-27 19:30:00+00:00,Premier League,2023,Brentford,Wolves,1,4,FT,5,Away Win
1035396,2024-02-05 20:00:00+00:00,Premier League,2023,Brentford,Manchester City,1,3,FT,4,Away Win
1035414,2024-02-17 12:30:00+00:00,Premier League,2023,Brentford,Liverpool,1,4,FT,5,Away Win
1035466,2024-03-30 20:00:00+00:00,Premier League,2023,Brentford,Manchester United,1,1,FT,2,Draw
1035060,2023-08-26 16:30:00+00:00,Premier League,2023,Brighton,West Ham,1,3,FT,4,Away Win
1035130,2023-10-29 14:00:00+00:00,Premier League,2023,Brighton,Fulham,1,1,FT,2,Draw
1035150,2023-11-12 14:00:00+00:00,Premier League,2023,Brighton,Sheffield Utd,1,1,FT,2,Draw
1035325,2023-12-09 15:00:00+00:00,Premier League,2023,Brighton,Burnley,1,1,FT,2,Draw
1035427,2024-02-24 15:00:00+00:00,Premier League,2023,Brighton,Everton,1,1,FT,2,Draw
1035447,2024-03-10 14:00:00+00:00,Premier League,2023,Brighton,Nottingham Forest,1,0,FT,1,Home Win
1035526,2024-05-05 13:00:00+00:00,Premier League,2023,Brighton,Aston Villa,1,0,FT,1,Home Win
1035505,2024-05-15 18:45:00+00:00,Premier League,2023,Brighton,Chelsea,1,2,FT,3,Away Win
1035061,2023-08-27 13:00:00+00:00,Premier League,2023,Burnley,Aston Villa,1,3,FT,4,Away Win
1035109,2023-10-07 14:00:00+00:00,Premier League,2023,Burnley,Chelsea,1,4,FT,5,Away Win
1035295,2023-11-25 15:00:00+00:00,Premier League,2023,Burnley,West Ham,1,2,FT,3,Away Win
1035378,2024-01-12 19:45:00+00:00,Premier League,2023,Burnley,Luton,1,1,FT,2,Draw
1035477,2024-04-02 18:45:00+00:00,Premier League,2023,Burnley,Wolves,1,1,FT,2,Draw
1035497,2024-04-13 14:00:00+00:00,Premier League,2023,Burnley,Brighton,1,1,FT,2,Draw
1035527,2024-05-04 14:00:00+00:00,Premier League,2023,Burnley,Newcastle,1,4,FT,5,Away Win
