fixture_id,date,league,season,home_team,away_team,goals_home,goals_away,status,total_goals
1390831,2025-08-22 19:30:00+00:00,La Liga,2025,Real Betis,Alaves,1,0,FT,1
1390885,2025-09-27 16:30:00+00:00,La Liga,2025,Mallorca,Alaves,1,0,FT,1
1390867,2025-09-20 19:00:00+00:00,La Liga,2025,Valencia,Athletic Club,2,0,FT,2
1390888,2025-09-27 19:00:00+00:00,La Liga,2025,Villarreal,Athletic Club,1,0,FT,1
1390903,2025-10-19 12:00:00+00:00,La Liga,2025,Elche,Athletic Club,0,0,FT,0
1390866,2025-09-20 14:15:00+00:00,La Liga,2025,Real Madrid,Espanyol,2,0,FT,2
1390884,2025-09-26 19:00:00+00:00,La Liga,2025,Girona,Espanyol,0,0,FT,0
1390848,2025-08-29 19:30:00+00:00,La Liga,2025,Valencia,Getafe,3,0,FT,3
1390860,2025-09-21 19:00:00+00:00,La Liga,2025,Barcelona,Getafe,3,0,FT,3
1390838,2025-08-24 17:30:00+00:00,La Liga,2025,Villarreal,Girona,5,0,FT,5
1390842,2025-08-29 17:30:00+00:00,La Liga,2025,Elche,Levante,2,0,FT,2
1390876,2025-09-24 19:30:00+00:00,La Liga,2025,Real Sociedad,Mallorca,1,0,FT,1
1390826,2025-08-19 19:00:00+00:00,La Liga,2025,Real Madrid,Osasuna,1,0,FT,1
1390843,2025-08-31 17:30:00+00:00,La Liga,2025,Espanyol,Osasuna,1,0,FT,1
1390881,2025-09-28 19:00:00+00:00,La Liga,2025,Real Betis,Osasuna,2,0,FT,2
1390900,2025-10-18 19:00:00+00:00,La Liga,2025,Atletico Madrid,Osasuna,1,0,FT,1
1390828,2025-08-15 19:30:00+00:00,La Liga,2025,Villarreal,Oviedo,2,0,FT,2
1390854,2025-09-13 12:00:00+00:00,La Liga,2025,Getafe,Oviedo,2,0,FT,2
1390862,2025-09-21 16:30:00+00:00,La Liga,2025,Elche,Oviedo,1,0,FT,1
1390829,2025-08-25 17:30:00+00:00,La Liga,2025,Athletic Club,Rayo Vallecano,1,0,FT,1
1390856,2025-09-14 16:30:00+00:00,La Liga,2025,Osasuna,Rayo Vallecano,2,0,FT,2
1390847,2025-08-30 17:00:00+00:00,La Liga,2025,Oviedo,Real Sociedad,1,0,FT,1
1390834,2025-08-24 15:00:00+00:00,La Liga,2025,Osasuna,Valencia,1,0,FT,1
1390851,2025-09-14 19:00:00+00:00,La Liga,2025,Barcelona,Valencia,6,0,FT,6
1390899,2025-10-20 19:00:00+00:00,La Liga,2025,Alaves,Valencia,0,0,FT,0
1390850,2025-09-13 19:00:00+00:00,La Liga,2025,Atletico Madrid,Villarreal,2,0,FT,2
1390849,2025-09-13 16:30:00+00:00,La Liga,2025,Athletic Club,Alaves,0,1,FT,1
1390873,2025-09-24 17:00:00+00:00,La Liga,2025,Getafe,Alaves,1,1,FT,2
1390823,2025-08-17 19:30:00+00:00,La Liga,2025,Espanyol,Atletico Madrid,2,1,FT,3
1390839,2025-08-30 15:00:00+00:00,La Liga,2025,Alaves,Atletico Madrid,1,1,FT,2
1390864,2025-09-21 14:15:00+00:00,La Liga,2025,Mallorca,Atletico Madrid,1,1,FT,2
1390891,2025-10-05 19:00:00+00:00,La Liga,2025,Celta Vigo,Atletico Madrid,1,1,FT,2
1390845,2025-08-31 19:30:00+00:00,La Liga,2025,Rayo Vallecano,Barcelona,1,1,FT,2
1390898,2025-10-05 14:15:00+00:00,La Liga,2025,Sevilla,Barcelona,4,1,FT,5
1390833,2025-08-23 15:00:00+00:00,La Liga,2025,Mallorca,Celta Vigo,1,1,FT,2
1390865,2025-09-21 12:00:00+00:00,La Liga,2025,Rayo Vallecano,Celta Vigo,1,1,FT,2
1390882,2025-09-28 14:15:00+00:00,La Liga,2025,Elche,Celta Vigo,2,1,FT,3
1390830,2025-08-23 17:30:00+00:00,La Liga,2025,Atletico Madrid,Elche,1,1,FT,2
1390875,2025-09-25 17:30:00+00:00,La Liga,2025,Osasuna,Elche,1,1,FT,2
1390889,2025-10-05 12:00:00+00:00,La Liga,2025,Alaves,Elche,3,1,FT,4
1390894,2025-10-03 19:00:00+00:00,La Liga,2025,Osasuna,Getafe,2,1,FT,3
1390852,2025-09-14 12:00:00+00:00,La Liga,2025,Celta Vigo,Girona,1,1,FT,2
1390869,2025-09-23 17:00:00+00:00,La Liga,2025,Athletic Club,Girona,1,1,FT,2
1390901,2025-10-18 14:15:00+00:00,La Liga,2025,Barcelona,Girona,2,1,FT,3
1390819,2025-08-16 19:30:00+00:00,La Liga,2025,Alaves,Levante,2,1,FT,3
1390883,2025-09-27 12:00:00+00:00,La Liga,2025,Getafe,Levante,1,1,FT,2
1390846,2025-08-30 19:30:00+00:00,La Liga,2025,Real Madrid,Mallorca,2,1,FT,3
1390890,2025-10-04 16:30:00+00:00,La Liga,2025,Athletic Club,Mallorca,2,1,FT,3
1390868,2025-09-20 16:30:00+00:00,La Liga,2025,Villarreal,Osasuna,2,1,FT,3
1390896,2025-10-05 16:30:00+00:00,La Liga,2025,Real Sociedad,Rayo Vallecano,0,1,FT,1
1390822,2025-08-18 19:00:00+00:00,La Liga,2025,Elche,Real Betis,1,1,FT,2
1390871,2025-08-27 19:00:00+00:00,La Liga,2025,Celta Vigo,Real Betis,1,1,FT,2
1390904,2025-10-19 19:00:00+00:00,La Liga,2025,Getafe,Real Madrid,0,1,FT,1
1390827,2025-08-16 19:30:00+00:00,La Liga,2025,Valencia,Real Sociedad,1,1,FT,2
1390861,2025-09-19 19:00:00+00:00,La Liga,2025,Real Betis,Real Sociedad,3,1,FT,4
1390880,2025-09-28 16:30:00+00:00,La Liga,2025,Barcelona,Real Sociedad,2,1,FT,3
1390902,2025-10-19 14:15:00+00:00,La Liga,2025,Celta Vigo,Real Sociedad,1,1,FT,2
1390886,2025-09-28 12:00:00+00:00,La Liga,2025,Rayo Vallecano,Sevilla,0,1,FT,1
1390893,2025-10-04 14:15:00+00:00,La Liga,2025,Girona,Valencia,2,1,FT,3
1390841,2025-08-31 15:00:00+00:00,La Liga,2025,Celta Vigo,Villarreal,1,1,FT,2
1390895,2025-10-04 19:00:00+00:00,La Liga,2025,Real Madrid,Villarreal,3,1,FT,4
1390840,2025-08-31 17:00:00+00:00,La Liga,2025,Real Betis,Athletic Club,1,2,FT,3
1390858,2025-09-12 19:00:00+00:00,La Liga,2025,Sevilla,Elche,2,2,FT,4
1390835,2025-08-24 17:30:00+00:00,La Liga,2025,Real Sociedad,Espanyol,2,2,FT,4
1390906,2025-10-17 19:00:00+00:00,La Liga,2025,Oviedo,Espanyol,0,2,FT,2
1390821,2025-08-17 15:00:00+00:00,La Liga,2025,Celta Vigo,Getafe,0,2,FT,2
1390837,2025-08-25 19:30:00+00:00,La Liga,2025,Sevilla,Getafe,1,2,FT,3
1390897,2025-10-04 12:00:00+00:00,La Liga,2025,Oviedo,Levante,0,2,FT,2
1390853,2025-09-15 19:00:00+00:00,La Liga,2025,Espanyol,Mallorca,3,2,FT,5
1390887,2025-09-30 18:00:00+00:00,La Liga,2025,Valencia,Oviedo,1,2,FT,3
1390870,2025-09-24 19:30:00+00:00,La Liga,2025,Atletico Madrid,Rayo Vallecano,3,2,FT,5
1390855,2025-09-14 14:15:00+00:00,La Liga,2025,Levante,Real Betis,2,2,FT,4
1390892,2025-10-05 16:30:00+00:00,La Liga,2025,Espanyol,Real Betis,1,2,FT,3
1390908,2025-10-18 16:30:00+00:00,La Liga,2025,Villarreal,Real Betis,2,2,FT,4
1390857,2025-09-13 14:15:00+00:00,La Liga,2025,Real Sociedad,Real Madrid,1,2,FT,3
1390879,2025-09-27 14:15:00+00:00,La Liga,2025,Atletico Madrid,Real Madrid,5,2,FT,7
1390820,2025-08-17 17:30:00+00:00,La Liga,2025,Athletic Club,Sevilla,3,2,FT,5
1390844,2025-08-30 17:30:00+00:00,La Liga,2025,Girona,Sevilla,0,2,FT,2
1390859,2025-09-20 16:30:00+00:00,La Liga,2025,Alaves,Sevilla,1,2,FT,3
1390872,2025-09-23 17:00:00+00:00,La Liga,2025,Espanyol,Valencia,2,2,FT,4
1390878,2025-09-23 19:30:00+00:00,La Liga,2025,Sevilla,Villarreal,1,2,FT,3
1390825,2025-08-16 17:30:00+00:00,La Liga,2025,Mallorca,Barcelona,0,3,FT,3
1390832,2025-08-23 19:30:00+00:00,La Liga,2025,Levante,Barcelona,2,3,FT,5
1390877,2025-09-25 19:30:00+00:00,La Liga,2025,Oviedo,Barcelona,1,3,FT,4
1390907,2025-10-18 12:00:00+00:00,La Liga,2025,Sevilla,Mallorca,1,3,FT,4
1390824,2025-08-15 17:00:00+00:00,La Liga,2025,Girona,Rayo Vallecano,1,3,FT,4
1390905,2025-10-19 16:30:00+00:00,La Liga,2025,Levante,Rayo Vallecano,0,3,FT,3
1390836,2025-08-24 19:30:00+00:00,La Liga,2025,Oviedo,Real Madrid,0,3,FT,3
1390863,2025-09-20 12:00:00+00:00,La Liga,2025,Girona,Levante,0,4,FT,4
1390874,2025-09-23 19:30:00+00:00,La Liga,2025,Levante,Real Madrid,1,4,FT,5
